Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P38023	SIGA1_SYNE7	reviewed	RNA polymerase sigma factor SigA1	sigA1 rpoD1 Synpcc7942_0649	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	399
Q31ME3	SIGA2_SYNE7	reviewed	RNA polymerase sigma factor SigA2	sigA2 rpoD2 Synpcc7942_1746	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	320
Q31QG5	SIGA3_SYNE7	reviewed	RNA polymerase sigma factor SigA3	sigA3 rpoD3 Synpcc7942_0672	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	320
Q31QR8	SIGA4_SYNE7	reviewed	RNA polymerase sigma factor SigA4	sigA4 rpoD4 Synpcc7942_0569	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)	311
O66381	SIGA_BACHD	reviewed	RNA polymerase sigma factor SigA (Sigma-43) (Sigma-A)	sigA rpoD BH1376	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	372
P52328	SIGA_BACSP	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA rpoD	Bacillus sp.	377
P06224	SIGA_BACSU	reviewed	RNA polymerase sigma factor SigA (Sigma-43) (Sigma-A)	sigA rpoD BSU25200	Bacillus subtilis (strain 168)	371
P56835	SIGA_CHLMU	reviewed	RNA polymerase sigma factor SigA (Sigma-66) (Sigma-70) (Sigma-A)	sigA rpoD TC_0905	Chlamydia muridarum (strain MoPn / Nigg)	571
Q9Z7F0	SIGA_CHLPN	reviewed	RNA polymerase sigma factor SigA (Sigma-66) (Sigma-70) (Sigma-A)	sigA rpoD CPn_0756 CP_1116 CpB0784	Chlamydia pneumoniae (Chlamydophila pneumoniae)	572
P18333	SIGA_CHLTR	reviewed	RNA polymerase sigma factor SigA (Sigma-66) (Sigma-70) (Sigma-A)	sigA rpoD CT_615	Chlamydia trachomatis (strain D/UW-3/Cx)	571
P33656	SIGA_CLOAB	reviewed	RNA polymerase sigma factor SigA (Major vegetative sigma factor) (Sigma-A)	sigA rpoD CA_C1300	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	378
P52329	SIGA_ENTFA	reviewed	RNA polymerase sigma factor SigA (Sigma-42)	sigA rpoD EF_1522	Enterococcus faecalis (strain ATCC 700802 / V583)	368
Q04506	SIGA_LACLA	reviewed	RNA polymerase sigma factor SigA (Sigma-42)	sigA rpoD LL0553 L0139	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	386
P58290	SIGA_LACLC	reviewed	RNA polymerase sigma factor SigA (Sigma-42) (Fragment)	sigA rpoD	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	364
Q92BQ6	SIGA_LISIN	reviewed	RNA polymerase sigma factor SigA (Sigma-43)	sigA rpoD lin1491	Listeria innocua serovar 6a (strain CLIP 11262)	374
P52331	SIGA_LISMO	reviewed	RNA polymerase sigma factor SigA (Sigma-43)	sigA rpoD lmo1454	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	374
P52322	SIGA_MICAE	reviewed	RNA polymerase sigma factor SigA	sigA rpoD1	Microcystis aeruginosa	416
P0A603	SIGA_MYCBO	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA mysA rpoD rpoV Mb2722	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	528
P47491	SIGA_MYCGE	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA rpoD MG249	Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195)	497
P78022	SIGA_MYCPN	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA rpoD MPN_352 MP484	Mycoplasma pneumoniae (strain ATCC 29342 / M129)	499
P0A602	SIGA_MYCTU	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA mysA rpoD rpoV Rv2703 MT2777 MTCY05A6.24	Mycobacterium tuberculosis	528
P26683	SIGA_NOSS1	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA rpoD all5263	Nostoc sp. (strain PCC 7120 / UTEX 2576)	390
P0A0J0	SIGA_STAA8	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SAOUHSC_01662	Staphylococcus aureus (strain NCTC 8325)	368
Q5HFJ9	SIGA_STAAC	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SACOL1618	Staphylococcus aureus (strain COL)	368
P0A0I8	SIGA_STAAM	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SAV1561	Staphylococcus aureus (strain Mu50 / ATCC 700699)	368
Q99TT5	SIGA_STAAN	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SA1390	Staphylococcus aureus (strain N315)	368
Q6GGD8	SIGA_STAAR	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SAR1638	Staphylococcus aureus (strain MRSA252)	368
Q6G905	SIGA_STAAS	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD SAS1499	Staphylococcus aureus (strain MSSA476)	368
P0A0I9	SIGA_STAAW	reviewed	RNA polymerase sigma factor SigA	sigA plaC rpoD MW1513	Staphylococcus aureus (strain MW2)	368
Q5HNY7	SIGA_STAEQ	reviewed	RNA polymerase sigma factor SigA	sigA rpoD SERP1127	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	368
Q8CP24	SIGA_STAES	reviewed	RNA polymerase sigma factor SigA	sigA rpoD SE_1248	Staphylococcus epidermidis (strain ATCC 12228)	368
P27785	SIGA_STRAU	reviewed	RNA polymerase sigma factor SigA	sigA rpoD	Streptomyces aureofaciens	317
P18183	SIGA_STRCO	reviewed	RNA polymerase sigma factor SigA (RNA polymerase principal sigma factor HrdB)	sigA hrdB SCO5820 SC5B8.10	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	511
P77951	SIGA_STRGR	reviewed	RNA polymerase sigma factor SigA (RNA polymerase principal sigma factor HrdB)	sigA hrdB	Streptomyces griseus	514
O33662	SIGA_STRMU	reviewed	RNA polymerase sigma factor SigA (Sigma-42)	sigA rpoD SMU_822	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	371
P0A4I9	SIGA_STRPN	reviewed	RNA polymerase sigma factor SigA	sigA rpoD SP_1073	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	369
P0A4J0	SIGA_STRR6	reviewed	RNA polymerase sigma factor SigA	sigA rpoD spr0979	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	369
P74565	SIGA_SYNY3	reviewed	RNA polymerase sigma factor SigA	sigA rpoD rpoD1 slr0653	Synechocystis sp. (strain PCC 6803 / Kazusa)	425
Q9EZJ8	SIGA_THEAQ	reviewed	RNA polymerase sigma factor SigA	sigA	Thermus aquaticus	438
P77994	SIGA_THEMA	reviewed	RNA polymerase sigma factor SigA (Sigma-A)	sigA rpoD TM_1451	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	399
Q72L95	SIGA_THET2	reviewed	RNA polymerase sigma factor SigA	sigA rpoD TT_C0164	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	423
A0R2D4	SIGE_MYCS2	reviewed	ECF RNA polymerase sigma factor SigE (ECF sigma factor SigE) (Alternative RNA polymerase sigma factor SigE) (RNA polymerase sigma-E factor) (Sigma-E factor)	sigE MSMEG_5072 MSMEI_4945	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	257
H8F0N6	SIGE_MYCTE	reviewed	ECF RNA polymerase sigma factor SigE (ECF sigma factor SigE) (Alternative RNA polymerase sigma factor SigE) (RNA polymerase sigma-E factor) (Sigma-E factor)	sigE ERDMAN_1366	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	257
O06289	SIGE_MYCTU	reviewed	ECF RNA polymerase sigma factor SigE (ECF sigma factor SigE) (Alternative RNA polymerase sigma factor SigE) (RNA polymerase sigma-E factor) (Sigma-E factor)	sigE Rv1221 MT1259	Mycobacterium tuberculosis	257
Q7D5S2	SIGF_MYCTU	reviewed	RNA polymerase sigma factor SigF (Sigma factor SigF) (Alternative RNA polymerase sigma factor SigF) (RNA polymerase sigma-F factor) (Sigma-F factor) (Stress response/stationary phase sigma factor SigF)	sigF Rv3286c MT3385	Mycobacterium tuberculosis	261
L7N5U5	SIGG_MYCTU	reviewed	ECF RNA polymerase sigma factor SigG (ECF sigma factor SigG) (Alternative RNA polymerase sigma factor SigG) (RNA polymerase sigma-G factor) (Sigma-g factor)	sigG Rv0182c MT0191	Mycobacterium tuberculosis	370
O31654	SIGI_BACSU	reviewed	RNA polymerase sigma factor SigI	sigI ykoZ BSU13450	Bacillus subtilis (strain 168)	251
Q7U1Z6	SIGK_MYCBO	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Mb0453c	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	187
A1KFR7	SIGK_MYCBP	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK BCG_0484c	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	187
A3Q5U0	SIGK_MYCSJ	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Mjls_4752	Mycobacterium sp. (strain JLS)	193
A1ULE1	SIGK_MYCSK	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Mkms_4458	Mycobacterium sp. (strain KMS)	193
Q1B3Q8	SIGK_MYCSS	reviewed	RNA polymerase sigma factor SigK (Sigma-K factor)	sigK Mmcs_4371	Mycobacterium sp. (strain MCS)	193
A5TZH1	SIGK_MYCTA	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK MRA_0450	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	187
H8EVT0	SIGK_MYCTE	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK ERDMAN_0488	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	187
O53730	SIGK_MYCTU	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Rv0445c MT0461	Mycobacterium tuberculosis	187
A0PNM4	SIGK_MYCUA	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK MUL_1400	Mycobacterium ulcerans (strain Agy99)	187
A1TEV0	SIGK_MYCVP	reviewed	ECF RNA polymerase sigma factor SigK (ECF sigma factor SigK) (Alternative RNA polymerase sigma factor SigK) (RNA polymerase sigma-K factor) (Sigma-K factor)	sigK Mvan_4927	Mycobacterium vanbaalenii (strain DSM 7251 / PYR-1)	196
H8EXN1	SIGL_MYCTE	reviewed	ECF RNA polymerase sigma factor SigL (ECF sigma factor SigL) (Alternative RNA polymerase sigma factor SigL) (RNA polymerase sigma-L factor) (Sigma-L factor)	sigL ERDMAN_0808	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	177
O07582	SIGM_BACSU	reviewed	RNA polymerase sigma factor SigM	sigM yhdM BSU09520	Bacillus subtilis (strain 168)	163
H8F2P4	SIGM_MYCTE	reviewed	ECF RNA polymerase sigma factor SigM (ECF sigma factor SigM) (Alternative RNA polymerase sigma factor SigM) (RNA polymerase sigma-M factor) (Sigma-M factor)	sigM ERDMAN_4291	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	196
O53590	SIGM_MYCTU	reviewed	Alternative RNA polymerase sigma factor SigM	sigM Rv3911	Mycobacterium tuberculosis	222
O34843	SIGO_BACSU	reviewed	RNA polymerase sigma factor SigO	sigO yvrI BSU33230	Bacillus subtilis (strain 168)	176
A7X3L7	SIGS_STAA1	reviewed	RNA polymerase sigma factor SigS	sigS SAHV_1762	Staphylococcus aureus (strain Mu3 / ATCC 700698)	156
A6U2P0	SIGS_STAA2	reviewed	RNA polymerase sigma factor SigS	sigS SaurJH1_1864	Staphylococcus aureus (strain JH1)	156
Q2FFW3	SIGS_STAA3	reviewed	RNA polymerase sigma factor SigS	sigS SAUSA300_1722	Staphylococcus aureus (strain USA300)	156
Q2FXF2	SIGS_STAA8	reviewed	RNA polymerase sigma factor SigS	sigS SAOUHSC_01897	Staphylococcus aureus (strain NCTC 8325)	156
A5ITU6	SIGS_STAA9	reviewed	RNA polymerase sigma factor SigS	sigS SaurJH9_1829	Staphylococcus aureus (strain JH9)	156
Q2YTL0	SIGS_STAAB	reviewed	RNA polymerase sigma factor SigS	sigS SAB1635	Staphylococcus aureus (strain bovine RF122 / ET3-1)	156
Q5HEZ8	SIGS_STAAC	reviewed	RNA polymerase sigma factor SigS	sigS SACOL1827	Staphylococcus aureus (strain COL)	156
A6QHV8	SIGS_STAAE	reviewed	RNA polymerase sigma factor SigS	sigS NWMN_1668	Staphylococcus aureus (strain Newman)	156
Q99T92	SIGS_STAAM	reviewed	RNA polymerase sigma factor SigS	sigS SAV1777	Staphylococcus aureus (strain Mu50 / ATCC 700699)	156
Q7A505	SIGS_STAAN	reviewed	RNA polymerase sigma factor SigS	sigS SA1595	Staphylococcus aureus (strain N315)	156
Q6GFS7	SIGS_STAAR	reviewed	RNA polymerase sigma factor SigS	sigS SAR1859	Staphylococcus aureus (strain MRSA252)	156
Q6G8F3	SIGS_STAAS	reviewed	RNA polymerase sigma factor SigS	sigS SAS1700	Staphylococcus aureus (strain MSSA476)	156
A8Z4K2	SIGS_STAAT	reviewed	RNA polymerase sigma factor SigS	sigS USA300HOU_1766	Staphylococcus aureus (strain USA300 / TCH1516)	156
Q8NW08	SIGS_STAAW	reviewed	RNA polymerase sigma factor SigS	sigS MW1717	Staphylococcus aureus (strain MW2)	156
O05404	SIGV_BACSU	reviewed	RNA polymerase sigma factor SigV	sigV BSU27120	Bacillus subtilis (strain 168)	166
Q45585	SIGW_BACSU	reviewed	RNA polymerase sigma factor SigW (Sigma-W factor)	sigW ybbL BSU01730	Bacillus subtilis (strain 168)	187
P35165	SIGX_BACSU	reviewed	RNA polymerase sigma factor SigX	sigX ypuM BSU23100	Bacillus subtilis (strain 168)	194
P94370	SIGY_BACSU	reviewed	RNA polymerase sigma factor SigY	sigY yxlB BSU38700	Bacillus subtilis (strain 168)	178
O05409	SIGZ_BACSU	reviewed	RNA polymerase sigma factor SigZ	sigZ BSU26840	Bacillus subtilis (strain 168)	176
P45215	Y1459_HAEIN	reviewed	Probable RNA polymerase sigma factor HI_1459	HI_1459	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	194
O07627	YLAC_BACSU	reviewed	RNA polymerase sigma factor YlaC	ylaC BSU14730	Bacillus subtilis (strain 168)	173
